0,030585	706,577897
0,064609	705,883684
0,098625	705,866203
0,132642	705,848721
0,166659	705,831239
0,200675	705,813758
0,234692	705,796276
0,268708	705,778794
0,302725	705,761312
0,336741	705,743831
0,370758	705,726349
0,404774	705,708867
0,438791	705,691385
0,472808	705,673904
0,506824	705,656422
0,540841	705,638940
0,574857	705,621458
0,608874	705,603977
0,642890	705,586495
0,676907	705,569013
0,704739	705,554710
0,785145	705,132728
0,819158	705,495908
0,853174	705,478426
0,887191	705,460944
0,921208	705,443462
0,955224	705,425981
0,989241	705,408499
1,023257	705,391017
1,057274	705,373535
1,091289	705,525237
1,112907	708,136445
1,252096	705,273413
1,286112	705,255931
1,320129	705,238449
1,354146	705,220968
1,388162	705,203486
1,422179	705,186004
1,456195	705,168522
1,490212	705,151041
1,524228	705,133559
1,545875	705,122434
