	x	nu_anom
292	1.828125e-02	7.038915e+08
293	1.834375e-02	5.157367e+08
294	1.840625e-02	3.948055e+08
295	1.846875e-02	3.189904e+08
296	1.853125e-02	2.653349e+08
297	1.859375e-02	2.221382e+08
298	1.865625e-02	1.904599e+08
299	1.871875e-02	1.634555e+08
300	1.878125e-02	1.426447e+08
301	1.884375e-02	1.252310e+08
302	1.890625e-02	1.098481e+08
303	1.896875e-02	9.761048e+07
304	1.903125e-02	8.735593e+07
305	1.909375e-02	7.999558e+07
306	1.915625e-02	7.224252e+07
307	1.921875e-02	6.657863e+07
308	1.928125e-02	6.190865e+07
309	1.934375e-02	5.790338e+07
310	1.940625e-02	5.411624e+07
311	1.946875e-02	5.131949e+07
312	1.953125e-02	4.823230e+07
313	1.959375e-02	4.599111e+07
314	1.965625e-02	4.355938e+07
315	1.971875e-02	4.097959e+07
316	1.978125e-02	3.883570e+07
317	1.984375e-02	3.682467e+07
318	1.990625e-02	3.515165e+07
319	1.996875e-02	3.288777e+07
320	2.003125e-02	3.074212e+07
321	2.009375e-02	2.900993e+07
322	2.015625e-02	2.763176e+07
323	2.021875e-02	2.655704e+07
324	2.028125e-02	2.549368e+07
325	2.034375e-02	2.444806e+07
326	2.040625e-02	2.360804e+07
327	2.046875e-02	2.250867e+07
328	2.053125e-02	2.152840e+07
329	2.059375e-02	2.080710e+07
330	2.065625e-02	2.070858e+07
331	2.071875e-02	2.033436e+07
332	2.078125e-02	2.011707e+07
333	2.084375e-02	2.016651e+07
334	2.090625e-02	1.957983e+07
335	2.096875e-02	1.900277e+07
336	2.103125e-02	1.852454e+07
337	2.109375e-02	1.795470e+07
338	2.115625e-02	1.772718e+07
339	2.121875e-02	1.727583e+07
340	2.128125e-02	1.658261e+07
341	2.134375e-02	1.607269e+07
342	2.140625e-02	1.507904e+07
343	2.146875e-02	1.427174e+07
344	2.153125e-02	1.359287e+07
345	2.159375e-02	1.257149e+07
346	2.165625e-02	1.194336e+07
347	2.171875e-02	1.122308e+07
348	2.178125e-02	1.037733e+07
349	2.184375e-02	9.839899e+06
350	2.190625e-02	9.464120e+06
351	2.196875e-02	9.042366e+06
352	2.203125e-02	8.563998e+06
353	2.209375e-02	8.162586e+06
354	2.215625e-02	7.698136e+06
355	2.221875e-02	7.706774e+06
356	2.228125e-02	7.318771e+06
357	2.234375e-02	6.816511e+06
358	2.240625e-02	6.348961e+06
359	2.246875e-02	6.041696e+06
360	2.253125e-02	5.763715e+06
361	2.259375e-02	5.368009e+06
362	2.265625e-02	5.167989e+06
363	2.271875e-02	4.798581e+06
364	2.278125e-02	4.425025e+06
365	2.284375e-02	4.302289e+06
366	2.290625e-02	3.849415e+06
367	2.296875e-02	3.409931e+06
368	2.303125e-02	3.141180e+06
369	2.309375e-02	2.827922e+06
370	2.315625e-02	2.530587e+06
371	2.321875e-02	2.390487e+06
372	2.328125e-02	2.380456e+06
373	2.334375e-02	2.207022e+06
374	2.340625e-02	2.180130e+06
375	2.346875e-02	2.284105e+06
376	2.353125e-02	2.325813e+06
377	2.359375e-02	2.397955e+06
378	2.365625e-02	2.829455e+06
379	2.371875e-02	3.332326e+06
380	2.378125e-02	3.769566e+06
381	2.384375e-02	4.228160e+06
382	2.390625e-02	4.907087e+06
383	2.396875e-02	5.470181e+06
384	2.403125e-02	6.493033e+06
385	2.409375e-02	8.669885e+06
386	2.415625e-02	1.160959e+07
387	2.421875e-02	1.499015e+07
388	2.428125e-02	1.862065e+07
389	2.434375e-02	2.206677e+07
390	2.440625e-02	2.521187e+07
391	2.446875e-02	2.809577e+07
392	2.453125e-02	3.010512e+07
393	2.459375e-02	3.106230e+07
394	2.465625e-02	3.039981e+07
395	2.471875e-02	2.604229e+07
396	2.478125e-02	1.600371e+07
397	2.484375e-02	4.554675e+06
398	2.490625e-02	1.000000e-10
399	2.496875e-02	1.000000e-10
