	x	nu_anom
0	3.125000e-05	2.453257e+05
1	9.375000e-05	1.188555e+06
2	1.562500e-04	1.916495e+06
3	2.187500e-04	2.219680e+06
4	2.812500e-04	2.383373e+06
5	3.437500e-04	2.462993e+06
6	4.062500e-04	2.528872e+06
7	4.687500e-04	2.617374e+06
8	5.312500e-04	2.709572e+06
9	5.937500e-04	2.796892e+06
10	6.562500e-04	2.887831e+06
11	7.187500e-04	3.036115e+06
12	7.812500e-04	3.140092e+06
13	8.437500e-04	3.258894e+06
14	9.062500e-04	3.347163e+06
15	9.687500e-04	3.439633e+06
16	1.031250e-03	3.544978e+06
17	1.093750e-03	3.653706e+06
18	1.156250e-03	3.714613e+06
19	1.218750e-03	3.800886e+06
20	1.281250e-03	3.907358e+06
21	1.343750e-03	4.025180e+06
22	1.406250e-03	4.106847e+06
23	1.468750e-03	4.224471e+06
24	1.531250e-03	4.367866e+06
25	1.593750e-03	4.489981e+06
26	1.656250e-03	4.611332e+06
27	1.718750e-03	4.757083e+06
28	1.781250e-03	4.884761e+06
29	1.843750e-03	4.996197e+06
30	1.906250e-03	5.156525e+06
31	1.968750e-03	5.241427e+06
32	2.031250e-03	5.387712e+06
33	2.093750e-03	5.534422e+06
34	2.156250e-03	5.618696e+06
35	2.218750e-03	5.757015e+06
36	2.281250e-03	5.832033e+06
37	2.343750e-03	5.953117e+06
38	2.406250e-03	6.075384e+06
39	2.468750e-03	6.148398e+06
40	2.531250e-03	6.265838e+06
41	2.593750e-03	6.352021e+06
42	2.656250e-03	6.550622e+06
43	2.718750e-03	6.683767e+06
44	2.781250e-03	6.845605e+06
45	2.843750e-03	7.033659e+06
46	2.906250e-03	7.232911e+06
47	2.968750e-03	7.406073e+06
48	3.031250e-03	7.559106e+06
49	3.093750e-03	7.737522e+06
50	3.156250e-03	7.918858e+06
51	3.218750e-03	8.083301e+06
52	3.281250e-03	8.273793e+06
53	3.343750e-03	8.476025e+06
54	3.406250e-03	8.662538e+06
55	3.468750e-03	8.821078e+06
56	3.531250e-03	9.007653e+06
57	3.593750e-03	9.161667e+06
58	3.656250e-03	9.322657e+06
59	3.718750e-03	9.414698e+06
60	3.781250e-03	9.508609e+06
61	3.843750e-03	9.641932e+06
62	3.906250e-03	9.636309e+06
63	3.968750e-03	9.702316e+06
64	4.031250e-03	9.749368e+06
65	4.093750e-03	9.823335e+06
66	4.156250e-03	9.820976e+06
67	4.218750e-03	9.878403e+06
68	4.281250e-03	9.893916e+06
69	4.343750e-03	9.943771e+06
70	4.406250e-03	9.963269e+06
71	4.468750e-03	1.002057e+07
72	4.531250e-03	1.004352e+07
73	4.593750e-03	1.002853e+07
74	4.656250e-03	1.006440e+07
75	4.718750e-03	1.006187e+07
76	4.781250e-03	1.002759e+07
77	4.843750e-03	1.007230e+07
78	4.906250e-03	1.005894e+07
79	4.968750e-03	1.013190e+07
80	5.031250e-03	1.015313e+07
81	5.093750e-03	1.023395e+07
82	5.156250e-03	1.020517e+07
83	5.218750e-03	1.019716e+07
84	5.281250e-03	1.016271e+07
85	5.343750e-03	1.026988e+07
86	5.406250e-03	1.033220e+07
87	5.468750e-03	1.031623e+07
88	5.531250e-03	1.027221e+07
89	5.593750e-03	1.019887e+07
90	5.656250e-03	1.000830e+07
91	5.718750e-03	9.875108e+06
92	5.781250e-03	9.696941e+06
93	5.843750e-03	9.435214e+06
94	5.906250e-03	9.192335e+06
95	5.968750e-03	8.968221e+06
96	6.031250e-03	8.766144e+06
97	6.093750e-03	8.603929e+06
98	6.156250e-03	8.569708e+06
99	6.218750e-03	8.648350e+06
100	6.281250e-03	8.910490e+06
101	6.343750e-03	9.373226e+06
102	6.406250e-03	1.005439e+07
103	6.468750e-03	1.095556e+07
104	6.531250e-03	1.211795e+07
105	6.593750e-03	1.353227e+07
106	6.656250e-03	1.531201e+07
107	6.718750e-03	1.751659e+07
108	6.781250e-03	2.008906e+07
109	6.843750e-03	2.303629e+07
110	6.906250e-03	2.631567e+07
111	6.968750e-03	2.985933e+07
112	7.031250e-03	3.361759e+07
113	7.093750e-03	3.744260e+07
